,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
RAMP2,0.0,0.0,0.31197578,1.6128994,0.42143983,0.0,3.0797768,0.0,0.0,0.0,0.0,3.9239142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAMP3,0.08889907,0.0,0.6007696,0.0,0.7113229,0.0,0.4362705,0.089218274,0.67532015,0.0,0.0,0.01169322,0.0,0.0,0.0,0.0,0.0,0.0,0.8930317,0.41799232
SCTR,0.0,0.6053614,0.4026506,0.0,0.42117956,0.78136843,0.0,0.25118315,0.0,0.07567122,0.0,0.2457762,0.0,0.8615522,0.020460302,0.008801388,0.0,0.0,0.13890938,0.3833377
TSHR,0.0,0.42106122,0.0,0.0,0.0,0.0,0.0,0.08514219,0.0,0.81098735,0.0,0.51437783,0.0,2.6794086,0.0,1.4729396,0.0,0.0,0.017613776,0.0
VIPR1,1.1119928,0.25486428,0.19276199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10032692,0.0,0.0,0.0,0.06483906,0.0,0.0025841212
VIPR2,1.1197317,0.120330274,0.4022058,0.0,0.0,0.0,0.0,0.47080284,0.06714539,0.0,0.0,0.0,0.0,0.5926774,0.0,0.0,0.0,0.0,0.12355988,0.32084653
ADIPOR1,0.7991568,0.5508122,0.11866505,0.0,0.0,0.0,0.0,0.40188584,0.0,0.0,0.0,0.0,0.0,0.0,0.055047207,0.26121953,0.0,0.0,0.0,0.6163881
ADCYAP1R1,0.0,0.0,1.7463467,0.12525967,0.030333811,0.0,2.8432193,0.0,2.229693,0.0,2.5969114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB2,0.0,0.0,0.0,0.047495883,0.0,0.0,2.173947,0.0,0.101623535,0.0,0.0,0.0,3.180652,0.0,0.0,0.0,0.0,1.3459382,0.0,0.0
ADRB3,0.0,0.0,0.0,3.6545699,0.0,2.6579149,0.0,0.016235966,0.0,0.0,0.0,2.5408654,0.0,0.0,1.0106459,0.3316286,0.17381053,0.0,0.0,2.5526288
CALCR,0.0,0.0,0.52593863,0.0,0.0,0.19752677,0.0,2.8104982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933236,0.0,0.0,0.0,1.4238563
